TF_name	TF_family	Identical_PWM	Homologous_PWM	Relatively_Homologous_PWM	ModCRE	AlphaFold	Best_annotation_level	Best_PWM_or_model	N_nonempty_annotation_columns
Q6RFR7	zf-C2H2_4,zf-C2H2,UPF0547,Prok-RING_2,C1_3,zf-C2H2_jaz,YhfH,BHD_2,XPA_N,zf-met,zf-H2C2_2,HypA,Yippee,C1_1,A2L_zn_ribbon,C1_4,TFIIS_C,zinc_ribbon_5,zf-AN1,HTH_Tnp_ISL3,Zn_Tnp_IS1595,DUF35_N,zf-C2H2_6,Desulfoferrod_N,C1_2,Prok-RING_1,zf-HIT,COX5B,ZZ,DUF82,LIM,PhnJ,Arc_trans_TRASH,zf-BED,DNA_RNApol_7kD,zf-trcl,DUF1610,zinc_ribbon_4,CxxC_CxxC_SSSS,DUF164,CpXC,zf-LYAR,BolA			M00142_2.00 (64.5%);M00774_2.00 (61.2%);M00782_2.00 (59.5%);M00786_2.00 (52.6%);M00939_2.00 (61.1%);M00943_2.00 (62.3%);M00944_2.00 (64.7%);M00945_2.00 (54.0%);M00948_2.00 (62.3%);M00950_2.00 (64.7%);M00952_2.00 (62.3%);M00953_2.00 (65.8%);M00955_2.00 (64.7%);M00958_2.00 (62.3%);M00959_2.00 (62.3%);M00960_2.00 (65.8%);M01044_2.00 (52.1%);M01456_2.00 (50.9%);M01457_2.00 (50.0%);M01474_2.00 (55.1%);M02913_2.00 (64.5%);M02924_2.00 (61.0%);M03710_2.00 (53.0%);M04387_2.00 (54.0%);M04465_2.00 (51.2%);M04505_2.00 (57.2%);M04524_2.00 (54.8%);M04536_2.00 (52.6%);M04598_2.00 (52.1%);M04610_2.00 (59.9%);M04611_2.00 (53.4%);M04613_2.00 (52.2%);M04621_2.00 (54.5%);M04650_2.00 (59.1%);M04653_2.00 (65.0%);M05847_2.00 (61.2%);M05853_2.00 (56.1%);M07562_2.00 (50.7%);M07567_2.00 (54.2%);M07575_2.00 (51.5%);M07578_2.00 (53.3%);M07579_2.00 (59.9%);M07581_2.00 (55.8%);M07582_2.00 (53.9%);M07587_2.00 (54.0%);M07588_2.00 (54.8%);M07590_2.00 (59.8%);M07593_2.00 (64.5%);M07598_2.00 (55.8%);M07600_2.00 (53.3%);M07601_2.00 (54.2%);M07605_2.00 (58.6%);M07610_2.00 (55.2%);M07635_2.00 (61.1%);M07645_2.00 (58.0%);M07646_2.00 (61.2%);M07648_2.00 (50.2%);M07658_2.00 (57.9%);M07660_2.00 (54.3%);M07667_2.00 (58.2%);M07678_2.00 (55.2%);M07683_2.00 (57.1%);M07684_2.00 (56.7%);M07685_2.00 (61.2%);M07686_2.00 (57.5%);M07687_2.00 (58.0%);M07688_2.00 (54.8%);M07689_2.00 (61.5%);M07691_2.00 (52.0%);M07693_2.00 (53.6%);M07699_2.00 (59.7%);M07700_2.00 (56.1%);M07702_2.00 (54.8%);M07706_2.00 (60.7%);M07707_2.00 (54.8%);M07712_2.00 (54.2%);M07714_2.00 (59.1%);M07717_2.00 (50.2%);M07725_2.00 (58.0%);M07727_2.00 (53.0%);M07729_2.00 (53.9%);M07746_2.00 (52.0%);M07753_2.00 (57.2%);M07759_2.00 (61.2%);M07761_2.00 (54.8%);M07764_2.00 (64.8%);M07775_2.00 (61.2%);M07777_2.00 (56.2%);M08245_2.00 (61.2%);M08247_2.00 (52.9%);M08252_2.00 (66.2%);M08254_2.00 (51.2%);M08255_2.00 (61.2%);M08256_2.00 (59.2%);M08267_2.00 (58.0%);M08274_2.00 (58.0%);M08279_2.00 (55.9%);M08283_2.00 (54.1%);M08291_2.00 (57.6%);M08292_2.00 (55.6%);M08300_2.00 (52.8%);M08309_2.00 (59.5%);M08311_2.00 (58.6%);M08325_2.00 (60.6%);M08329_2.00 (55.8%);M08334_2.00 (57.2%);M08335_2.00 (53.3%);M08342_2.00 (53.8%);M08347_2.00 (57.2%);M08355_2.00 (57.6%);M08357_2.00 (51.7%);M08358_2.00 (51.6%);M08366_2.00 (52.8%);M08367_2.00 (50.2%);M08371_2.00 (62.9%);M08373_2.00 (52.0%);M08375_2.00 (59.9%);M08386_2.00 (53.0%);M08392_2.00 (55.9%);M08395_2.00 (58.7%);M08399_2.00 (55.4%);M08859_2.00 (58.0%);M08860_2.00 (55.6%);M08887_2.00 (64.5%);M08901_2.00 (52.8%);M08903_2.00 (64.5%);M08917_2.00 (56.5%);M08934_2.00 (60.8%);M08944_2.00 (58.4%);M08949_2.00 (64.5%);M08985_2.00 (61.6%);M09008_2.00 (54.1%);MA0056.1 (50.2%);MA0483.1 (54.8%);MA0528.1 (52.3%);MA1124.1 (62.2%);MA1154.1 (50.3%);MA1514.1 (52.0%);MA1585.1 (61.2%);MA1587.1 (59.5%);MA1588.1 (52.4%);MA1589.1 (54.5%);MA1592.1 (51.7%);MA1594.1 (52.9%);MA1596.1 (53.0%);MA1597.1 (61.3%);MA1600.1 (58.0%);MA1601.1 (57.1%);MA1602.1 (51.1%);MA1656.1 (50.2%)			Relatively_Homologous_PWM	M00142_2.00 (64.5%);M00774_2.00 (61.2%);M00782_2.00 (59.5%);M00786_2.00 (52.6%);M00939_2.00 (61.1%);M00943_2.00 (62.3%);M00944_2.00 (64.7%);M00945_2.00 (54.0%);M00948_2.00 (62.3%);M00950_2.00 (64.7%);M00952_2.00 (62.3%);M00953_2.00 (65.8%);M00955_2.00 (64.7%);M00958_2.00 (62.3%);M00959_2.00 (62.3%);M00960_2.00 (65.8%);M01044_2.00 (52.1%);M01456_2.00 (50.9%);M01457_2.00 (50.0%);M01474_2.00 (55.1%);M02913_2.00 (64.5%);M02924_2.00 (61.0%);M03710_2.00 (53.0%);M04387_2.00 (54.0%);M04465_2.00 (51.2%);M04505_2.00 (57.2%);M04524_2.00 (54.8%);M04536_2.00 (52.6%);M04598_2.00 (52.1%);M04610_2.00 (59.9%);M04611_2.00 (53.4%);M04613_2.00 (52.2%);M04621_2.00 (54.5%);M04650_2.00 (59.1%);M04653_2.00 (65.0%);M05847_2.00 (61.2%);M05853_2.00 (56.1%);M07562_2.00 (50.7%);M07567_2.00 (54.2%);M07575_2.00 (51.5%);M07578_2.00 (53.3%);M07579_2.00 (59.9%);M07581_2.00 (55.8%);M07582_2.00 (53.9%);M07587_2.00 (54.0%);M07588_2.00 (54.8%);M07590_2.00 (59.8%);M07593_2.00 (64.5%);M07598_2.00 (55.8%);M07600_2.00 (53.3%);M07601_2.00 (54.2%);M07605_2.00 (58.6%);M07610_2.00 (55.2%);M07635_2.00 (61.1%);M07645_2.00 (58.0%);M07646_2.00 (61.2%);M07648_2.00 (50.2%);M07658_2.00 (57.9%);M07660_2.00 (54.3%);M07667_2.00 (58.2%);M07678_2.00 (55.2%);M07683_2.00 (57.1%);M07684_2.00 (56.7%);M07685_2.00 (61.2%);M07686_2.00 (57.5%);M07687_2.00 (58.0%);M07688_2.00 (54.8%);M07689_2.00 (61.5%);M07691_2.00 (52.0%);M07693_2.00 (53.6%);M07699_2.00 (59.7%);M07700_2.00 (56.1%);M07702_2.00 (54.8%);M07706_2.00 (60.7%);M07707_2.00 (54.8%);M07712_2.00 (54.2%);M07714_2.00 (59.1%);M07717_2.00 (50.2%);M07725_2.00 (58.0%);M07727_2.00 (53.0%);M07729_2.00 (53.9%);M07746_2.00 (52.0%);M07753_2.00 (57.2%);M07759_2.00 (61.2%);M07761_2.00 (54.8%);M07764_2.00 (64.8%);M07775_2.00 (61.2%);M07777_2.00 (56.2%);M08245_2.00 (61.2%);M08247_2.00 (52.9%);M08252_2.00 (66.2%);M08254_2.00 (51.2%);M08255_2.00 (61.2%);M08256_2.00 (59.2%);M08267_2.00 (58.0%);M08274_2.00 (58.0%);M08279_2.00 (55.9%);M08283_2.00 (54.1%);M08291_2.00 (57.6%);M08292_2.00 (55.6%);M08300_2.00 (52.8%);M08309_2.00 (59.5%);M08311_2.00 (58.6%);M08325_2.00 (60.6%);M08329_2.00 (55.8%);M08334_2.00 (57.2%);M08335_2.00 (53.3%);M08342_2.00 (53.8%);M08347_2.00 (57.2%);M08355_2.00 (57.6%);M08357_2.00 (51.7%);M08358_2.00 (51.6%);M08366_2.00 (52.8%);M08367_2.00 (50.2%);M08371_2.00 (62.9%);M08373_2.00 (52.0%);M08375_2.00 (59.9%);M08386_2.00 (53.0%);M08392_2.00 (55.9%);M08395_2.00 (58.7%);M08399_2.00 (55.4%);M08859_2.00 (58.0%);M08860_2.00 (55.6%);M08887_2.00 (64.5%);M08901_2.00 (52.8%);M08903_2.00 (64.5%);M08917_2.00 (56.5%);M08934_2.00 (60.8%);M08944_2.00 (58.4%);M08949_2.00 (64.5%);M08985_2.00 (61.6%);M09008_2.00 (54.1%);MA0056.1 (50.2%);MA0483.1 (54.8%);MA0528.1 (52.3%);MA1124.1 (62.2%);MA1154.1 (50.3%);MA1514.1 (52.0%);MA1585.1 (61.2%);MA1587.1 (59.5%);MA1588.1 (52.4%);MA1589.1 (54.5%);MA1592.1 (51.7%);MA1594.1 (52.9%);MA1596.1 (53.0%);MA1597.1 (61.3%);MA1600.1 (58.0%);MA1601.1 (57.1%);MA1602.1 (51.1%);MA1656.1 (50.2%)	1
Q6RFR8	zf-C2H2_4,C1_4,zf-C2H2,C1_2,FYVE,zf-BED,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,Yippee,DUF82,Zn_Tnp_IS1595,CpXC,zf-C2H2_6			M00250_2.00 (53.1%);M00764_2.00 (50.3%);M00785_2.00 (51.1%);M00939_2.00 (57.6%);M00943_2.00 (54.1%);M00944_2.00 (55.2%);M00948_2.00 (52.9%);M00950_2.00 (52.9%);M00952_2.00 (56.4%);M00953_2.00 (55.2%);M00955_2.00 (55.2%);M00958_2.00 (52.9%);M00959_2.00 (52.9%);M00960_2.00 (54.1%);M01538_2.00 (50.0%);M03691_2.00 (50.8%);M03702_2.00 (53.5%);M04465_2.00 (54.8%);M04475_2.00 (50.0%);M04505_2.00 (52.8%);M04611_2.00 (50.0%);M04613_2.00 (59.1%);M04621_2.00 (53.0%);M04650_2.00 (52.8%);M05844_2.00 (60.3%);M07578_2.00 (52.5%);M07581_2.00 (51.2%);M07587_2.00 (59.1%);M07590_2.00 (51.7%);M07593_2.00 (56.9%);M07598_2.00 (58.5%);M07620_2.00 (52.0%);M07625_2.00 (53.0%);M07631_2.00 (54.8%);M07635_2.00 (53.2%);M07646_2.00 (60.2%);M07659_2.00 (52.8%);M07660_2.00 (51.2%);M07678_2.00 (51.7%);M07683_2.00 (52.7%);M07706_2.00 (60.6%);M07727_2.00 (57.1%);M07731_2.00 (56.9%);M07764_2.00 (50.4%);M07770_2.00 (53.8%);M07842_2.00 (56.5%);M08247_2.00 (58.6%);M08254_2.00 (55.4%);M08255_2.00 (50.3%);M08267_2.00 (51.7%);M08275_2.00 (50.7%);M08279_2.00 (50.3%);M08283_2.00 (51.6%);M08292_2.00 (52.8%);M08311_2.00 (51.4%);M08325_2.00 (50.8%);M08334_2.00 (56.0%);M08335_2.00 (51.2%);M08347_2.00 (65.9%);M08365_2.00 (52.7%);M08366_2.00 (52.0%);M08371_2.00 (50.3%);M08373_2.00 (50.4%);M08375_2.00 (51.0%);M08395_2.00 (51.2%);M08860_2.00 (50.3%);M08917_2.00 (61.0%);M08934_2.00 (50.4%);M08944_2.00 (52.8%);M08985_2.00 (57.6%);MA0056.1 (51.6%);MA0103.1 (60.3%);MA0103.2 (60.3%);MA0750.1 (50.7%);MA1124.1 (59.7%);MA1587.1 (56.1%);MA1588.1 (59.1%);MA1594.1 (58.6%);MA1596.1 (57.1%);MA1600.1 (52.1%);MA1601.1 (52.7%);MA1602.1 (58.0%);MA1652.1 (54.9%);MA1653.1 (51.5%)			Relatively_Homologous_PWM	M00250_2.00 (53.1%);M00764_2.00 (50.3%);M00785_2.00 (51.1%);M00939_2.00 (57.6%);M00943_2.00 (54.1%);M00944_2.00 (55.2%);M00948_2.00 (52.9%);M00950_2.00 (52.9%);M00952_2.00 (56.4%);M00953_2.00 (55.2%);M00955_2.00 (55.2%);M00958_2.00 (52.9%);M00959_2.00 (52.9%);M00960_2.00 (54.1%);M01538_2.00 (50.0%);M03691_2.00 (50.8%);M03702_2.00 (53.5%);M04465_2.00 (54.8%);M04475_2.00 (50.0%);M04505_2.00 (52.8%);M04611_2.00 (50.0%);M04613_2.00 (59.1%);M04621_2.00 (53.0%);M04650_2.00 (52.8%);M05844_2.00 (60.3%);M07578_2.00 (52.5%);M07581_2.00 (51.2%);M07587_2.00 (59.1%);M07590_2.00 (51.7%);M07593_2.00 (56.9%);M07598_2.00 (58.5%);M07620_2.00 (52.0%);M07625_2.00 (53.0%);M07631_2.00 (54.8%);M07635_2.00 (53.2%);M07646_2.00 (60.2%);M07659_2.00 (52.8%);M07660_2.00 (51.2%);M07678_2.00 (51.7%);M07683_2.00 (52.7%);M07706_2.00 (60.6%);M07727_2.00 (57.1%);M07731_2.00 (56.9%);M07764_2.00 (50.4%);M07770_2.00 (53.8%);M07842_2.00 (56.5%);M08247_2.00 (58.6%);M08254_2.00 (55.4%);M08255_2.00 (50.3%);M08267_2.00 (51.7%);M08275_2.00 (50.7%);M08279_2.00 (50.3%);M08283_2.00 (51.6%);M08292_2.00 (52.8%);M08311_2.00 (51.4%);M08325_2.00 (50.8%);M08334_2.00 (56.0%);M08335_2.00 (51.2%);M08347_2.00 (65.9%);M08365_2.00 (52.7%);M08366_2.00 (52.0%);M08371_2.00 (50.3%);M08373_2.00 (50.4%);M08375_2.00 (51.0%);M08395_2.00 (51.2%);M08860_2.00 (50.3%);M08917_2.00 (61.0%);M08934_2.00 (50.4%);M08944_2.00 (52.8%);M08985_2.00 (57.6%);MA0056.1 (51.6%);MA0103.1 (60.3%);MA0103.2 (60.3%);MA0750.1 (50.7%);MA1124.1 (59.7%);MA1587.1 (56.1%);MA1588.1 (59.1%);MA1594.1 (58.6%);MA1596.1 (57.1%);MA1600.1 (52.1%);MA1601.1 (52.7%);MA1602.1 (58.0%);MA1652.1 (54.9%);MA1653.1 (51.5%)	1
Q6RFS1	zf-C2H2_4,zf-C2H2,zf-C2H2_jaz,XPA_N,zf-H2C2_2,C1_4,TFIIS_C,zf-AN1,HTH_Tnp_ISL3,Zn_Tnp_IS1595,zf-C2H2_6,FYVE,DUF2688,zf-HIT,zf-BED,zf-trcl,CxxC_CxxC_SSSS,zf-LYAR,BolA			M00019_2.00 (50.8%);M00764_2.00 (60.4%);M00782_2.00 (56.6%);M00939_2.00 (52.6%);M00943_2.00 (63.0%);M00944_2.00 (66.6%);M00945_2.00 (53.4%);M00948_2.00 (63.0%);M00950_2.00 (64.2%);M00952_2.00 (64.2%);M00953_2.00 (65.4%);M00955_2.00 (59.5%);M00958_2.00 (63.0%);M00959_2.00 (63.0%);M00960_2.00 (65.4%);M01456_2.00 (54.7%);M01531_2.00 (50.9%);M02924_2.00 (58.4%);M04387_2.00 (54.9%);M04465_2.00 (51.7%);M04475_2.00 (53.6%);M04505_2.00 (52.4%);M04598_2.00 (57.3%);M04613_2.00 (50.3%);M04621_2.00 (59.2%);M04650_2.00 (57.2%);M04653_2.00 (62.5%);M07566_2.00 (52.5%);M07567_2.00 (52.7%);M07575_2.00 (50.0%);M07578_2.00 (52.3%);M07579_2.00 (57.7%);M07581_2.00 (55.2%);M07590_2.00 (53.1%);M07598_2.00 (50.7%);M07601_2.00 (53.2%);M07605_2.00 (52.7%);M07610_2.00 (51.7%);M07620_2.00 (54.2%);M07635_2.00 (55.2%);M07658_2.00 (53.1%);M07678_2.00 (59.7%);M07686_2.00 (53.2%);M07689_2.00 (59.9%);M07699_2.00 (53.7%);M07700_2.00 (53.1%);M07707_2.00 (58.1%);M07712_2.00 (54.4%);M07714_2.00 (50.6%);M07746_2.00 (51.2%);M07753_2.00 (57.4%);M07762_2.00 (55.7%);M07770_2.00 (50.0%);M08245_2.00 (50.0%);M08247_2.00 (51.9%);M08252_2.00 (52.9%);M08254_2.00 (51.4%);M08255_2.00 (52.7%);M08256_2.00 (52.3%);M08267_2.00 (54.3%);M08274_2.00 (53.9%);M08279_2.00 (52.9%);M08291_2.00 (54.2%);M08300_2.00 (53.2%);M08309_2.00 (58.1%);M08311_2.00 (50.8%);M08325_2.00 (57.3%);M08329_2.00 (53.6%);M08330_2.00 (53.9%);M08334_2.00 (52.7%);M08335_2.00 (51.3%);M08342_2.00 (50.2%);M08347_2.00 (57.7%);M08355_2.00 (54.6%);M08357_2.00 (51.2%);M08367_2.00 (55.6%);M08371_2.00 (52.9%);M08373_2.00 (51.3%);M08375_2.00 (53.8%);M08386_2.00 (52.1%);M08395_2.00 (54.3%);M08399_2.00 (50.5%);M08860_2.00 (55.5%);M08887_2.00 (50.2%);M08901_2.00 (52.8%);M08914_2.00 (54.4%);M08917_2.00 (53.3%);M08934_2.00 (58.2%);M08935_2.00 (55.2%);M08944_2.00 (52.3%);M08985_2.00 (58.1%);MA1124.1 (60.0%);MA1587.1 (59.1%);MA1589.1 (59.2%);MA1594.1 (51.9%);MA1656.1 (51.1%)			Relatively_Homologous_PWM	M00019_2.00 (50.8%);M00764_2.00 (60.4%);M00782_2.00 (56.6%);M00939_2.00 (52.6%);M00943_2.00 (63.0%);M00944_2.00 (66.6%);M00945_2.00 (53.4%);M00948_2.00 (63.0%);M00950_2.00 (64.2%);M00952_2.00 (64.2%);M00953_2.00 (65.4%);M00955_2.00 (59.5%);M00958_2.00 (63.0%);M00959_2.00 (63.0%);M00960_2.00 (65.4%);M01456_2.00 (54.7%);M01531_2.00 (50.9%);M02924_2.00 (58.4%);M04387_2.00 (54.9%);M04465_2.00 (51.7%);M04475_2.00 (53.6%);M04505_2.00 (52.4%);M04598_2.00 (57.3%);M04613_2.00 (50.3%);M04621_2.00 (59.2%);M04650_2.00 (57.2%);M04653_2.00 (62.5%);M07566_2.00 (52.5%);M07567_2.00 (52.7%);M07575_2.00 (50.0%);M07578_2.00 (52.3%);M07579_2.00 (57.7%);M07581_2.00 (55.2%);M07590_2.00 (53.1%);M07598_2.00 (50.7%);M07601_2.00 (53.2%);M07605_2.00 (52.7%);M07610_2.00 (51.7%);M07620_2.00 (54.2%);M07635_2.00 (55.2%);M07658_2.00 (53.1%);M07678_2.00 (59.7%);M07686_2.00 (53.2%);M07689_2.00 (59.9%);M07699_2.00 (53.7%);M07700_2.00 (53.1%);M07707_2.00 (58.1%);M07712_2.00 (54.4%);M07714_2.00 (50.6%);M07746_2.00 (51.2%);M07753_2.00 (57.4%);M07762_2.00 (55.7%);M07770_2.00 (50.0%);M08245_2.00 (50.0%);M08247_2.00 (51.9%);M08252_2.00 (52.9%);M08254_2.00 (51.4%);M08255_2.00 (52.7%);M08256_2.00 (52.3%);M08267_2.00 (54.3%);M08274_2.00 (53.9%);M08279_2.00 (52.9%);M08291_2.00 (54.2%);M08300_2.00 (53.2%);M08309_2.00 (58.1%);M08311_2.00 (50.8%);M08325_2.00 (57.3%);M08329_2.00 (53.6%);M08330_2.00 (53.9%);M08334_2.00 (52.7%);M08335_2.00 (51.3%);M08342_2.00 (50.2%);M08347_2.00 (57.7%);M08355_2.00 (54.6%);M08357_2.00 (51.2%);M08367_2.00 (55.6%);M08371_2.00 (52.9%);M08373_2.00 (51.3%);M08375_2.00 (53.8%);M08386_2.00 (52.1%);M08395_2.00 (54.3%);M08399_2.00 (50.5%);M08860_2.00 (55.5%);M08887_2.00 (50.2%);M08901_2.00 (52.8%);M08914_2.00 (54.4%);M08917_2.00 (53.3%);M08934_2.00 (58.2%);M08935_2.00 (55.2%);M08944_2.00 (52.3%);M08985_2.00 (58.1%);MA1124.1 (60.0%);MA1587.1 (59.1%);MA1589.1 (59.2%);MA1594.1 (51.9%);MA1656.1 (51.1%)	1
Q6RFS2	zf-C2H2_4,zf-C2H2,Zn_ribbon_recom,Prok-RING_2,YhfH,zf-C2H2_jaz,Ogr_Delta,C1_3,zf-met,XPA_N,zf-H2C2_2,HypA,C1_4,TFIIS_C,zinc_ribbon_5,zf-CHY,zf-AN1,FeS,HTH_Tnp_ISL3,Zn_Tnp_IS1595,zf-MYND,DUF2321,zf-Mss51,zf-C2H2_6,zinc_ribbon_2,FYVE,DUF2688,Tnp_zf-ribbon_2,RIG-I_C-RD,SprT-like,DZR,Elf1,zf-BED,zf-trcl,zinc_ribbon_4,CxxC_CxxC_SSSS,zf-C2H2_2,CpXC,FYDLN_acid,Ribosomal_L44	MA1588.1					Identical_PWM	MA1588.1	1
Q6RFS3	zf-C2H2_4,C1_4,zf-C2H2,zf-C2H2_jaz,Tnp_zf-ribbon_2,IBD,zf-met,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,C1_1,CpXC,zf-C2H2_6,BolA			M00134_2.00 (50.8%);M00609_2.00 (51.3%);M00782_2.00 (52.2%);M00786_2.00 (51.3%);M00939_2.00 (62.3%);M00943_2.00 (64.7%);M00944_2.00 (64.7%);M00945_2.00 (56.3%);M00948_2.00 (64.7%);M00950_2.00 (67.0%);M00952_2.00 (67.0%);M00953_2.00 (63.5%);M00955_2.00 (60.0%);M00958_2.00 (64.7%);M00959_2.00 (66.6%);M00960_2.00 (69.4%);M01456_2.00 (51.7%);M01474_2.00 (50.0%);M02731_2.00 (51.1%);M02896_2.00 (50.0%);M02924_2.00 (56.4%);M03692_2.00 (50.3%);M04387_2.00 (56.7%);M04465_2.00 (51.4%);M04505_2.00 (57.9%);M04536_2.00 (50.2%);M04598_2.00 (52.1%);M04611_2.00 (53.4%);M04613_2.00 (55.1%);M04650_2.00 (55.8%);M04653_2.00 (59.6%);M07579_2.00 (61.9%);M07581_2.00 (52.2%);M07588_2.00 (50.9%);M07590_2.00 (56.4%);M07598_2.00 (51.1%);M07605_2.00 (61.0%);M07610_2.00 (53.3%);M07635_2.00 (55.6%);M07649_2.00 (54.8%);M07666_2.00 (50.7%);M07667_2.00 (53.3%);M07683_2.00 (52.7%);M07684_2.00 (52.4%);M07688_2.00 (50.0%);M07689_2.00 (52.4%);M07700_2.00 (52.0%);M07712_2.00 (50.4%);M07714_2.00 (50.8%);M07733_2.00 (50.0%);M07761_2.00 (50.9%);M07762_2.00 (50.0%);M07777_2.00 (53.1%);M08252_2.00 (52.7%);M08254_2.00 (52.5%);M08267_2.00 (55.3%);M08274_2.00 (52.1%);M08311_2.00 (51.3%);M08325_2.00 (57.1%);M08347_2.00 (50.7%);M08355_2.00 (51.6%);M08373_2.00 (51.2%);M08375_2.00 (54.5%);M08399_2.00 (52.9%);M08901_2.00 (56.4%);M08934_2.00 (54.1%);M08935_2.00 (54.8%);M08944_2.00 (51.3%);M08985_2.00 (59.8%);MA0508.1 (51.1%);MA0731.1 (50.0%);MA1124.1 (57.8%);MA1587.1 (55.5%);MA1601.1 (52.7%);MA1602.1 (54.4%);MA1656.1 (50.5%)			Relatively_Homologous_PWM	M00134_2.00 (50.8%);M00609_2.00 (51.3%);M00782_2.00 (52.2%);M00786_2.00 (51.3%);M00939_2.00 (62.3%);M00943_2.00 (64.7%);M00944_2.00 (64.7%);M00945_2.00 (56.3%);M00948_2.00 (64.7%);M00950_2.00 (67.0%);M00952_2.00 (67.0%);M00953_2.00 (63.5%);M00955_2.00 (60.0%);M00958_2.00 (64.7%);M00959_2.00 (66.6%);M00960_2.00 (69.4%);M01456_2.00 (51.7%);M01474_2.00 (50.0%);M02731_2.00 (51.1%);M02896_2.00 (50.0%);M02924_2.00 (56.4%);M03692_2.00 (50.3%);M04387_2.00 (56.7%);M04465_2.00 (51.4%);M04505_2.00 (57.9%);M04536_2.00 (50.2%);M04598_2.00 (52.1%);M04611_2.00 (53.4%);M04613_2.00 (55.1%);M04650_2.00 (55.8%);M04653_2.00 (59.6%);M07579_2.00 (61.9%);M07581_2.00 (52.2%);M07588_2.00 (50.9%);M07590_2.00 (56.4%);M07598_2.00 (51.1%);M07605_2.00 (61.0%);M07610_2.00 (53.3%);M07635_2.00 (55.6%);M07649_2.00 (54.8%);M07666_2.00 (50.7%);M07667_2.00 (53.3%);M07683_2.00 (52.7%);M07684_2.00 (52.4%);M07688_2.00 (50.0%);M07689_2.00 (52.4%);M07700_2.00 (52.0%);M07712_2.00 (50.4%);M07714_2.00 (50.8%);M07733_2.00 (50.0%);M07761_2.00 (50.9%);M07762_2.00 (50.0%);M07777_2.00 (53.1%);M08252_2.00 (52.7%);M08254_2.00 (52.5%);M08267_2.00 (55.3%);M08274_2.00 (52.1%);M08311_2.00 (51.3%);M08325_2.00 (57.1%);M08347_2.00 (50.7%);M08355_2.00 (51.6%);M08373_2.00 (51.2%);M08375_2.00 (54.5%);M08399_2.00 (52.9%);M08901_2.00 (56.4%);M08934_2.00 (54.1%);M08935_2.00 (54.8%);M08944_2.00 (51.3%);M08985_2.00 (59.8%);MA0508.1 (51.1%);MA0731.1 (50.0%);MA1124.1 (57.8%);MA1587.1 (55.5%);MA1601.1 (52.7%);MA1602.1 (54.4%);MA1656.1 (50.5%)	1
Q6RFS4	zf-C2H2_4,C1_4,zf-C2H2,zf-C2H2_jaz,zf-H2C2_2,CxxC_CxxC_SSSS,zf-C2H2_6		M04515_2.00 (88.7%)				Homologous_PWM	M04515_2.00 (88.7%)	1
Q6SJ96	TBP,EB1_binding,DUF3378		M00216_2.00 (90.2%);M01567_2.00 (78.6%);MA0108.2 (90.2%)				Homologous_PWM	M00216_2.00 (90.2%);M01567_2.00 (78.6%);MA0108.2 (90.2%)	1
Q6SV71	Sgf11,DUF581,Arc_trans_TRASH,Vps39_2,DUF2175,zinc_ribbon_2,LIM		M05213_2.00 (98.6%);M09187_2.00 (78.0%);MA0658.1 (78.0%);MA0705.1 (97.2%)				Homologous_PWM	M05213_2.00 (98.6%);M09187_2.00 (78.0%);MA0658.1 (78.0%);MA0705.1 (97.2%)	1
Q6TZ08	Prog_receptor,zf-C3HC4_2,Hormone_recep,zf-C4		M09609_2.00 (91.4%)				Homologous_PWM	M09609_2.00 (91.4%)	1
Q6U7Q0	zf-C2H2_4,C1_4,zf-C2H2,Ta0938,zf-C2H2_jaz,zf-H2C2_2,Yippee,HTH_Tnp_ISL3,GAGA,zf-C2H2_6,BolA	M08357_2.00;ZN322_HUMAN.H11MO.0.B					Identical_PWM	M08357_2.00;ZN322_HUMAN.H11MO.0.B	1
Q6V3B1	HLH,LepA_C,IncA,CENP-Q,PMBR,Ax_dynein_light	M08778_2.00					Identical_PWM	M08778_2.00	1
